		SIKKIM MANIPAL UNIVERSITY 

		GRADE SHEET - MAY/JUNE 2025 EXAMINATIONS.  

Subject Code  : CS204A1/CSML204A1		(REF CODE:CSE402)
Subject Title : DESIGN & ANALYSIS OF ALGORITHMS
Subject Credit : 4.0 

REGNO		INT	   UM		TOT	GRADE
202300002	34.80	   31	     66.00	C
202300003	37.15	 41.5	     79.00	A
202300009	38.35	   40	     79.00	A
202300016	30.25	 27.5	     58.00	C
202300018	41.60	   41	     83.00	A
202300019	40.95	   39	     80.00	A
202300021	40.10	 36.5	     77.00	B
202300023	26.40	 30.5	     57.00	C
202300024	38.85	 35.5	     75.00	B
202300036	33.50	   30	     64.00	C
202300037	39.15	 40.5	     80.00	A
202300048	32.85	   25	     58.00	C
202300058	33.45	 34.5	     68.00	B
202300064	37.70	   37	     75.00	B
202300068	30.30	 32.5	     63.00	C
202300074	31.35	   33	     65.00	C
202300076	30.35	 22.5	     53.00	D
202300078	38.90	 34.5	     74.00	B
202300086	41.50	 41.5	     83.00	A
202300087	16.60	 14.5	     32.00	F
202300091	35.38	   32	     68.00	B
202300101	38.50	   43	     82.00	A
202300105	38.70	   40	     79.00	A
202300108	25.90	 18.5	     45.00	E
202300115	36.90	   31	     68.00	B
202300120	40.90	 39.5	     81.00	A
202300128	21.20	 16.5	     38.00	E
202300132	40.68	 34.5	     76.00	B
202300139	38.63	 39.5	     79.00	A
202300146	39.05	 42.5	     82.00	A
202300148	30.95	   29	     60.00	C
202300157	32.95	 20.5	     54.00	D
202300161	37.85	 38.5	     77.00	B
202300169	32.23	   29	     62.00	C
202300171	 0.00	   DT	      0.00	DT
202300172	37.25	 43.5	     81.00	A
202300177	29.95	   22	     52.00	D
202300182	39.80	 48.5	     89.00	S
202300184	42.45	 44.5	     87.00	A
202300186	37.80	 37.5	     76.00	B
202300191	25.35	 19.5	     45.00	E
202300193	39.45	 45.5	     85.00	A
202300195	24.60	 12.5	     38.00	E
202300196	37.30	   42	     80.00	A
202300197	32.30	 27.5	     60.00	C
202300204	40.30	 40.5	     81.00	A
202300216	34.65	   39	     74.00	B
202300219	32.40	 41.5	     74.00	B
202300220	41.48	   39	     81.00	A
202300224	23.30	 18.5	     42.00	E
202300227	33.00	   42	     75.00	B
202300236	39.65	   48	     88.00	A
202300239	43.90	 46.5	     91.00	S
202300240	22.10	 21.5	     44.00	E
202300244	34.00	   22	     56.00	D
